"Monthly Rate of COVID-19 Cases per 100,000 Population by Municipality of Residence Excluding Congregate Setting Residents",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Rhode Island Department of Health (RIDOH) SalesForce COVID-19 Case Dataset; US Census Bureau, 2018 American Community Survey 5-year estimates",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last updated:,10/6/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NOTES: Calculations based on small numbers (<5) are shown as *, in line with RIDOH's Small Numbers Policy. We provide monthly data to help show more reliable trends over time. Fluctuations in these data may be due to a variety of factors, such as people’s movement across municipalities. Please use caution when interpreting these data as other factors can increase risk for illness.
 
Residents in congregate care settings such as nursing homes, assisted living facilities, group homes, correctional facilities, and homeless shelters are intentionally excluded from these data. Because congregate care settings are not distributed equally across the state, and because spread within a congregate care setting does not correlate to spread within the community in which it resides, these cases have been excluded from this analysis in order to provide a more accurate picture of COVID-19 cases within the broader municipality. Out-of-state residents are also excluded from this analysis.

Rates calculated from number of cases (may count people more than once)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Month of Result Date,BARRINGTON,BRISTOL,BURRILLVILLE,CENTRAL FALLS,CHARLESTOWN,COVENTRY,CRANSTON,CUMBERLAND,EAST GREENWICH,EAST PROVIDENCE,EXETER,FOSTER,GLOCESTER,HOPKINTON,JAMESTOWN,JOHNSTON,LINCOLN,LITTLE COMPTON,MIDDLETOWN,NARRAGANSETT,NEW SHOREHAM,NEWPORT,NORTH KINGSTOWN,NORTH PROVIDENCE,NORTH SMITHFIELD,PAWTUCKET,PORTSMOUTH,PROVIDENCE,RICHMOND,SCITUATE,SMITHFIELD,SOUTH KINGSTOWN,TIVERTON,WARREN,WARWICK,WEST GREENWICH,WEST WARWICK,WESTERLY,WOONSOCKET,TOTAL
Population,"16,178","22,234","16,453","19,382","7,780","34,575","81,196","34,652","13,073","47,449","6,782","4,689","10,062","8,111","5,496","29,235","21,644","3,505","16,078","15,550",827,"24,762","26,207","32,459","12,349","71,756","17,418","179,435","7,626","10,603","21,630","30,735","15,816","10,488","81,079","6,179","28,955","22,624","41,539","1,056,611"
March 2020,56,31,55,36,*,35,57,46,0,42,*,*,*,*,*,24,55,*,50,*,0,36,38,43,40,61,29,57,0,57,37,29,44,*,30,0,38,44,19,42
April 2020,111,193,267,2229,129,214,583,369,321,415,206,192,199,111,109,506,342,200,106,212,*,105,206,829,138,1109,103,1432,210,207,240,153,297,229,290,194,397,177,436,602
May 2020,111,166,109,1811,*,156,369,150,145,276,133,171,179,74,91,383,263,*,81,39,0,109,84,453,186,747,121,1067,144,123,134,33,158,210,196,81,228,27,467,422
June 2020,31,49,36,402,77,38,121,87,84,82,*,*,*,*,*,147,83,0,75,*,0,141,46,114,81,215,40,371,*,104,69,23,32,67,59,*,121,44,171,144
July 2020,62,139,115,537,129,107,241,104,168,126,*,*,*,86,91,181,139,*,131,51,*,145,57,299,162,375,40,338,*,113,148,36,70,133,139,81,186,62,159,194
August 2020,*,157,61,676,*,98,289,179,184,110,118,149,129,*,*,222,157,0,68,244,*,85,214,274,65,357,63,509,*,113,166,117,89,*,134,81,145,53,217,236
September 2020,93,144,164,459,90,110,201,225,69,126,*,*,*,74,91,294,166,0,44,579,0,121,130,283,186,360,57,528,*,104,180,140,120,86,143,81,145,164,144,240
October 2020,408,427,450,2053,231,471,910,658,742,558,206,640,427,173,309,927,675,314,249,1370,*,258,439,1026,543,1224,316,1153,249,481,573,478,512,524,566,664,656,314,571,758
November 2020,1150,1507,1465,3968,1041,2137,2717,1544,2195,1770,1371,1642,1242,1356,964,2777,1968,399,597,1305,1209,812,1671,2323,1207,2606,654,2861,1154,2141,1979,1197,892,1325,2020,1424,2279,941,1420,2038
December 2020,2120,2226,3288,3379,1889,2620,2990,2975,2693,2953,1887,2346,2236,1948,1729,3626,2777,1427,1847,2051,1935,1716,1908,2896,2786,3053,1895,3095,1534,3037,2783,1692,2137,3137,2359,1877,2407,1812,2783,2685
January 2021,1749,2456,2522,2337,1337,2094,2094,2271,2968,2101,1548,2431,1630,1751,1474,2487,2259,1369,1835,1730,1209,2015,1778,2169,2251,2357,2193,2220,1390,2094,2427,1318,1985,2422,1876,2330,2031,1909,2583,2150
