Rate of Rhode Island Residents Who Have Completed Primary Vaccine Series per 100,000 Population by Municipality of Residence and Week																																								
Source: Rhode Island Department of Health (RIDOH); Rhode Island Child and Adult Immunization Registry; US Census Bureau, 2018 American Community Survey 5-year population estimates																																								
Last updated:	10/27/2021																																							
																																								
NOTES: Rates based on small numbers (<5) are shown as *, in line with RIDOH's Small Numbers Policy. We provide weekly data to help show broader trends over time. Fluctuations in these data may be due to a variety of factors, such as vaccine availability or people’s movement across municipalities.  Out-of-state residents are excluded. Residents in congregate care settings such as nursing homes, assisted living facilities, group homes, correctional facilities, and homeless shelters are included in these data. Because congregate care settings are not distributed equally across the state, and because vaccination within a congregate care setting does not correlate to vaccination within the community in which it resides, please use caution when interpreting these data.																																								
																																								
Week Vaccination Completed	BARRINGTON	BRISTOL	BURRILLVILLE	CENTRAL FALLS	CHARLESTOWN	COVENTRY	CRANSTON	CUMBERLAND	EAST GREENWICH	EAST PROVIDENCE	EXETER	FOSTER	GLOCESTER	HOPKINTON	JAMESTOWN	JOHNSTON	LINCOLN	LITTLE COMPTON	MIDDLETOWN	NARRAGANSETT	NEW SHOREHAM	NEWPORT	NORTH KINGSTOWN	NORTH PROVIDENCE	NORTH SMITHFIELD	PAWTUCKET	PORTSMOUTH	PROVIDENCE	RICHMOND	SCITUATE	SMITHFIELD	SOUTH KINGSTOWN	TIVERTON	WARREN	WARWICK	WEST GREENWICH	WEST WARWICK	WESTERLY	WOONSOCKET	TOTAL
Population	16,178	22,234	16,453	19,382	7,780	34,575	81,196	34,652	13,073	47,449	6,782	4,689	10,062	8,111	5,496	29,235	21,644	3,505	16,078	15,550	827	24,762	26,207	32,459	12,349	71,756	17,418	179,435	7,626	10,603	21,630	30,735	15,816	10,488	81,079	6,179	28,955	22,624	41,539	1,056,611
12/13/20-12/19/20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12/20/20-12/26/20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12/27/20-1/2/21	*	0	0	0	0	0	*	0	0	*	0	0	0	0	0	*	*	0	0	0	0	0	0	*	0	*	*	3	0	*	0	0	0	0	0	0	0	0	0	2
1/3/21-1/9/21	1,020	175	425	*	308	347	352	329	1,094	295	398	341	427	247	382	202	374	*	255	476	0	303	488	311	275	166	310	365	380	340	337	547	145	248	409	502	273	270	106	341
1/10/21-1/16/21	1,193	441	717	72	771	659	611	594	1,285	660	796	533	557	505	400	568	624	*	466	714	0	283	763	548	777	309	425	507	656	717	490	768	285	429	609	566	446	455	221	552
1/17/21-1/23/21	445	1,178	219	232	206	324	244	407	382	398	354	384	298	321	91	465	333	*	118	322	0	69	351	357	794	436	155	359	288	283	259	390	164	448	592	388	345	323	349	375
1/24/21-1/30/21	1,156	1,430	1,051	4,045	1,671	1,666	823	822	1,935	1,549	1,607	981	1,203	2,022	2,420	1,057	952	913	1,959	1,183	8,343	1,349	1,507	755	1,279	782	1,453	690	2,085	1,198	1,623	1,624	873	1,897	1,297	1,408	1,067	1,759	1,081	1,214
1/31/21-2/6/21	1,038	1,349	1,191	1,790	604	795	1,129	889	979	1,132	944	1,408	1,401	641	473	1,095	1,830	884	989	643	*	711	717	1,263	939	743	844	640	603	1,283	1,789	634	626	1,392	903	1,036	632	849	506	925
2/7/21-2/13/21	1,106	1,651	1,045	2,755	990	1,238	1,144	1,140	1,469	1,203	840	1,045	1,183	1,874	837	1,474	1,081	371	473	900	*	372	1,557	1,436	1,215	971	614	745	957	1,198	1,355	745	999	1,106	1,824	1,359	1,323	1,052	912	1,153
2/14/21-2/20/21	896	580	930	3,895	810	1,443	1,064	929	1,591	1,153	796	810	974	555	746	1,190	1,090	542	1,611	1,241	*	1,199	1,538	832	1,749	959	545	823	656	1,028	1,701	970	322	2,021	1,006	728	1,806	486	758	1,080
2/21/21-2/27/21	964	976	1,459	3,452	1,401	1,365	1,394	1,394	2,211	1,543	1,180	1,237	1,193	1,085	1,292	1,184	2,962	770	871	1,145	3,628	1,086	1,267	1,611	1,563	1,427	1,573	898	1,626	1,518	2,016	1,240	481	1,201	1,332	987	912	1,392	1,911	1,384
