Rate of Rhode Island Residents Who Have Completed Primary Vaccine Series per 100,000 Population by Municipality of Residence and Week																																								
Source: Rhode Island Department of Health (RIDOH); Rhode Island Child and Adult Immunization Registry; US Census Bureau, 2018 American Community Survey 5-year population estimates																																								
Last updated:	10/20/2021																																							
																																								
NOTES: Rates based on small numbers (<5) are shown as *, in line with RIDOH's Small Numbers Policy. We provide weekly data to help show broader trends over time. Fluctuations in these data may be due to a variety of factors, such as vaccine availability or people’s movement across municipalities.  Out-of-state residents are excluded. Residents in congregate care settings such as nursing homes, assisted living facilities, group homes, correctional facilities, and homeless shelters are included in these data. Because congregate care settings are not distributed equally across the state, and because vaccination within a congregate care setting does not correlate to vaccination within the community in which it resides, please use caution when interpreting these data.																																								
																																								
Week Vaccination Completed	BARRINGTON	BRISTOL	BURRILLVILLE	CENTRAL FALLS	CHARLESTOWN	COVENTRY	CRANSTON	CUMBERLAND	EAST GREENWICH	EAST PROVIDENCE	EXETER	FOSTER	GLOCESTER	HOPKINTON	JAMESTOWN	JOHNSTON	LINCOLN	LITTLE COMPTON	MIDDLETOWN	NARRAGANSETT	NEW SHOREHAM	NEWPORT	NORTH KINGSTOWN	NORTH PROVIDENCE	NORTH SMITHFIELD	PAWTUCKET	PORTSMOUTH	PROVIDENCE	RICHMOND	SCITUATE	SMITHFIELD	SOUTH KINGSTOWN	TIVERTON	WARREN	WARWICK	WEST GREENWICH	WEST WARWICK	WESTERLY	WOONSOCKET	TOTAL
Population	16,178	22,234	16,453	19,382	7,780	34,575	81,196	34,652	13,073	47,449	6,782	4,689	10,062	8,111	5,496	29,235	21,644	3,505	16,078	15,550	827	24,762	26,207	32,459	12,349	71,756	17,418	179,435	7,626	10,603	21,630	30,735	15,816	10,488	81,079	6,179	28,955	22,624	41,539	1,056,611
12/13/20-12/19/20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12/20/20-12/26/20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12/27/20-1/2/21	*	0	0	0	0	0	*	0	0	*	0	0	0	0	0	*	*	0	0	0	0	0	0	*	0	*	0	3	0	*	0	0	0	0	0	0	0	0	0	2
1/3/21-1/9/21	1,014	180	425	*	308	347	351	332	1,086	293	398	341	427	247	382	202	374	*	255	476	0	303	481	314	283	166	310	364	380	349	337	543	145	238	407	502	273	265	104	340
1/10/21-1/16/21	1,193	441	717	72	771	659	608	594	1,285	655	796	533	557	505	400	564	628	143	466	714	0	283	763	548	777	307	425	503	643	707	495	765	285	439	612	566	449	460	217	551
1/17/21-1/23/21	445	1,178	225	242	231	321	244	378	375	403	354	384	298	308	91	472	337	*	118	322	0	69	351	364	794	438	155	357	315	283	259	387	164	458	593	388	345	305	349	374
1/24/21-1/30/21	1,156	1,435	1,045	4,050	1,684	1,669	819	825	1,935	1,545	1,607	981	1,203	2,034	2,402	1,047	943	942	1,972	1,183	8,343	1,345	1,511	749	1,279	790	1,453	684	2,072	1,198	1,613	1,630	873	1,850	1,295	1,408	1,064	1,746	1,081	1,213
1/31/21-2/6/21	1,026	1,345	1,197	1,795	604	784	1,129	883	971	1,081	944	1,408	1,381	641	473	1,091	1,820	913	989	650	*	711	717	1,269	939	739	838	640	603	1,283	1,789	628	620	1,564	903	1,052	635	849	503	923
2/7/21-2/13/21	1,094	1,619	1,051	2,771	1,015	1,241	1,139	1,134	1,461	1,199	840	1,045	1,183	1,886	819	1,464	1,077	371	473	907	*	372	1,561	1,439	1,215	969	614	744	957	1,198	1,350	735	999	1,116	1,825	1,359	1,319	1,034	903	1,151
2/14/21-2/20/21	896	585	924	3,921	797	1,443	1,063	923	1,583	1,157	796	810	964	555	728	1,194	1,081	542	1,611	1,248	*	1,203	1,530	826	1,749	960	540	818	643	1,028	1,701	966	329	1,993	997	728	1,810	482	761	1,078
2/21/21-2/27/21	958	985	1,453	3,477	1,388	1,365	1,390	1,377	2,211	1,534	1,165	1,216	1,193	1,085	1,292	1,187	2,966	770	883	1,132	3,507	1,090	1,263	1,608	1,563	1,426	1,567	896	1,626	1,509	2,006	1,240	481	1,211	1,332	987	908	1,388	1,914	1,382
