Number of Rhode Island Residents Who Have Completed Primary Vaccine Series by Municipality of Residence and Week																																									
Source: Rhode Island Department of Health (RIDOH); Rhode Island Child and Adult Immunization Registry (RICAIR)																																									
Last updated:	10/27/2021																																								
																																									
NOTES: Data reflect the number of Rhode Island residents who have received two doses of either the Pfizer or Moderna vaccine, as well as people who have received the single dose Johnson & Johnson vaccine. Small numbers are shown as <5 in line with RIDOH's Small Numbers Policy. We provide weekly data to help show broader trends over time. Fluctuations in these data may be due to a variety of factors, such as vaccine availability or people’s movement across municipalities.  Out-of-state residents are excluded. Residents in congregate care settings such as nursing homes, assisted living facilities, group homes, correctional facilities, and homeless shelters are included in these data. Because congregate care settings are not distributed equally across the state, and because vaccination within a congregate care setting does not correlate to vaccination within the community in which it resides, please use caution when interpreting these data.																																									
																																									
Week Vaccination Completed	BARRINGTON	BRISTOL	BURRILLVILLE	CENTRAL FALLS	CHARLESTOWN	COVENTRY	CRANSTON	CUMBERLAND	EAST GREENWICH	EAST PROVIDENCE	EXETER	FOSTER	GLOCESTER	HOPKINTON	JAMESTOWN	JOHNSTON	LINCOLN	LITTLE COMPTON	MIDDLETOWN	NARRAGANSETT	NEW SHOREHAM	NEWPORT	NORTH KINGSTOWN	NORTH PROVIDENCE	NORTH SMITHFIELD	PAWTUCKET	PORTSMOUTH	PROVIDENCE	RICHMOND	SCITUATE	SMITHFIELD	SOUTH KINGSTOWN	TIVERTON	WARREN	WARWICK	WEST GREENWICH	WEST WARWICK	WESTERLY	WOONSOCKET	z.Pending info	Total
12/13/20-12/19/20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12/20/20-12/26/20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12/27/20-1/2/21	<5	0	0	0	0	0	<5	0	0	<5	0	0	0	0	0	<5	<5	0	0	0	0	0	0	<5	0	<5	<5	6	0	<5	0	0	0	0	0	0	0	0	0	0	20
1/3/21-1/9/21	165	39	70	<5	24	120	286	114	143	140	27	16	43	20	21	59	81	<5	41	74	0	75	128	101	34	119	54	655	29	36	73	168	23	26	332	31	79	61	44	42	3,601
1/10/21-1/16/21	193	98	118	14	60	228	496	206	168	313	54	25	56	41	22	166	135	<5	75	111	0	70	200	178	96	222	74	910	50	76	106	236	45	45	494	35	129	103	92	93	5,837
1/17/21-1/23/21	72	262	36	45	16	112	198	141	50	189	24	18	30	26	5	136	72	<5	19	50	0	17	92	116	98	313	27	645	22	30	56	120	26	47	480	24	100	73	145	29	3,963
1/24/21-1/30/21	187	318	173	784	130	576	668	285	253	735	109	46	121	164	133	309	206	32	315	184	69	334	395	245	158	561	253	1,238	159	127	351	499	138	199	1,052	87	309	398	449	79	12,828
1/31/21-2/6/21	168	300	196	347	47	275	917	308	128	537	64	66	141	52	26	320	396	31	159	100	<5	176	188	410	116	533	147	1,149	46	136	387	195	99	146	732	64	183	192	210	87	9,777
2/7/21-2/13/21	179	367	172	534	77	428	929	395	192	571	57	49	119	152	46	431	234	13	76	140	<5	92	408	466	150	697	107	1,337	73	127	293	229	158	116	1,479	84	383	238	379	200	12,178
2/14/21-2/20/21	145	129	153	755	63	499	864	322	208	547	54	38	98	45	41	348	236	19	259	193	<5	297	403	270	216	688	95	1,476	50	109	368	298	51	212	816	45	523	110	315	47	11,407
